item_id,descripcion
ITEM-044,El sistema deberá permitir al familiar autorizado consultar el cumplimiento de la rutina del paciente.
ITEM-045,El sistema deberá registrar el nivel de dolor del paciente después de realizar una rutina.
ITEM-046,El sistema deberá registrar el nivel de dolor del paciente mediante una escala de valoración.
ITEM-047,El sistema deberá permitir al fisioterapeuta gestionar el estado de cada alerta terapéutica como Pendiente Revisada o Atendida.
ITEM-048,El sistema deberá enviar recordatorios al paciente sobre ejercicios pendientes.
ITEM-049,El sistema deberá permitir documentar observaciones sobre progreso dificultades o recomendaciones por sesión.
ITEM-050,"El sistema deberá permitir comparar registros de dolor, movilidad o progreso del paciente durante diferentes periodos."
ITEM-051,El sistema deberá permitir al administrador crear modificar activar desactivar usuarios y asignar permisos según rol.
ITEM-052,El sistema deberá permitir registrar nombres edad sexo contacto identificación y antecedentes relevantes del paciente.
ITEM-053,El sistema deberá generar alertas terapéuticas ante incumplimientos niveles elevados de dolor fatiga o errores configurados.
ITEM-054,El sistema deberá registrar las limitaciones funcionales del paciente antes de la terapia.
ITEM-055,El sistema deberá permitir clasificar al paciente según condición traumatológica neurológica geriátrica u otra definida por el fisioterapeuta.
ITEM-056,El sistema deberá registrar los antecedentes clínicos del paciente durante el seguimiento terapéutico.
ITEM-057,El sistema deberá permitir registrar observaciones del fisioterapeuta sobre las sesiones del paciente.
ITEM-058,El sistema deberá mostrar las repeticiones indicadas para cada ejercicio de la rutina.
ITEM-059,El sistema deberá permitir registrar el nivel de gravedad del caso según criterio profesional.
ITEM-060,El sistema deberá registrar los ejercicios completados por el paciente durante una rutina.
ITEM-061,El sistema deberá permitir registrar mediciones de movilidad articular del paciente.
ITEM-062,"El sistema deberá registrar alertas relacionadas con dolor, fatiga o dificultades durante la realización de ejercicios."
ITEM-063,El sistema deberá permitir registrar editar consultar o desactivar ejercicios isométricos aeróbicos de movilidad resistencia y fortalecimiento.
ITEM-064,El sistema deberá registrar la edad del paciente para considerar la planificación del tratamiento.
ITEM-065,El sistema deberá permitir documentar la razón principal por la cual el paciente inicia terapia física.
ITEM-066,El sistema deberá permitir crear un plan terapéutico según diagnóstico condición clínica gravedad y evolución del paciente.
