tema_id,rf_humano_id,rf_humano_texto,rf_llm_id,rf_llm_texto,tipo
SOLO_HUMANO-RF-01,RF-01,El sistema deberá permitir el inicio de sesión de fisioterapeutas pacientes administradores y familiares autorizados mediante credenciales válidas.,,,solo_humano
SOLO_HUMANO-RF-02,RF-02,El sistema deberá permitir al administrador crear modificar activar desactivar usuarios y asignar permisos según rol.,,,solo_humano
SOLO_HUMANO-RF-06,RF-06,El sistema deberá permitir clasificar al paciente según condición traumatológica neurológica geriátrica u otra definida por el fisioterapeuta.,,,solo_humano
SOLO_HUMANO-RF-07,RF-07,El sistema deberá permitir registrar el nivel de gravedad del caso según criterio profesional.,,,solo_humano
SOLO_HUMANO-RF-08,RF-08,El sistema deberá permitir registrar signos vitales antes de una sesión terapéutica.,,,solo_humano
SOLO_HUMANO-RF-20,RF-20,El sistema deberá permitir activar la cámara para capturar la ejecución del ejercicio.,,,solo_humano
SOLO_HUMANO-RF-21,RF-21,El sistema deberá analizar mediante IA los ejercicios del catálogo compatibles con análisis automático y patrón de movimiento configurado.,,,solo_humano
SOLO_HUMANO-RF-22,RF-22,El sistema deberá permitir identificar errores de postura o movimientos compensatorios durante la ejecución.,,,solo_humano
SOLO_HUMANO-RF-24,RF-24,El sistema deberá evitar que movimientos mal ejecutados se registren como repeticiones válidas.,,,solo_humano
SOLO_HUMANO-RF-25,RF-25,El sistema deberá mostrar retroalimentación automática cuando detecte un error postural o repetición incorrecta.,,,solo_humano
SOLO_HUMANO-RF-29,RF-29,El sistema deberá generar recomendaciones basadas en desempeño sujetas a validación profesional.,,,solo_humano
SOLO_HUMANO-RF-33,RF-33,El sistema deberá permitir al fisioterapeuta gestionar el estado de cada alerta terapéutica como Pendiente Revisada o Atendida.,,,solo_humano
SOLO_LLM-RF-07,,,RF-07,El sistema deberá registrar la evaluación del paciente durante el tratamiento terapéutico.,solo_llm
SOLO_LLM-RF-20,,,RF-20,El sistema deberá registrar dificultades u observaciones reportadas por el paciente durante los ejercicios.,solo_llm
SOLO_LLM-RF-25,,,RF-25,El sistema deberá registrar los resultados de evaluaciones realizadas durante el seguimiento.,solo_llm
SOLO_LLM-RF-28,,,RF-28,El sistema deberá permitir consultar las observaciones de sesiones anteriores del paciente.,solo_llm
SOLO_LLM-RF-30,,,RF-30,El sistema deberá enviar avisos a familiares autorizados cuando el paciente requiera apoyo.,solo_llm
