fecha,codigo_participante,tipo_sesion,transcripciones_asociadas,nota_campo_asociada,estado,observacion
2026-07-19,EV2-PAC-04,Walkthrough,TRANSCRIPCIONES_EV2-PAC-04_Walkthrough.txt,2026-07-19_Walkthrough_Paciente_EV2-PAC-04_Notas.jpeg,Nota disponible,La entrevista y el walkthrough del mismo participante se conservan como fases diferenciadas y cada una tiene su propia nota.
2026-07-23,EVA2-PAC-10,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-10_Walkthrough.txt,2026-07-23_Walkthrough_Paciente_EVA2-PAC-10_Notas.jpeg,Nota disponible,Una nota asociada a la fase de walkthrough.
2026-07-26,EV2-PAC-05,Entrevista,TRANSCRIPCIONES_EV2-PAC-05_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-05_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-07-26,EV2-PAC-06,Entrevista,TRANSCRIPCIONES_EV2-PAC-06_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-06_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-07-26,EV2-PAC-07,Entrevista,TRANSCRIPCIÓN EV2-PAC-07 Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-07_Notas.jpeg,Nota disponible,Se conserva el nombre histórico del archivo de transcripción.
2026-07-26,EV2-PAC-08,Entrevista,TRANSCRIPCIONES_EV2-PAC-08_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-08_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-07-26,EV2-PAC-09,Entrevista,TRANSCRIPCIONES_EV2-PAC-09_Entrevista.txt,2026-07-26_Entrevista_Paciente_EV2-PAC-09_Notas.jpeg,Nota disponible,Una nota asociada a la sesión de entrevista.
2026-07-26,EV2-PAC-05,Walkthrough,TRANSCRIPCIONES_EV2-PAC-05_Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-05_Notas.jpeg,Nota disponible,El nombre histórico de la transcripción usa 'Walktrough'; corresponde a walkthrough.
2026-07-26,EV2-PAC-06,Walkthrough,TRANSCRIPCIONES_EV2-PAC-06_Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-06_Notas.jpeg,Nota disponible,El nombre histórico de la transcripción usa 'Walktrough'; corresponde a walkthrough.
2026-07-26,EV2-PAC-07,Walkthrough,TRANSCRIPCIÓN  EV2-PAC-07 Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-07_Notas.jpeg,Nota disponible,Se conserva el nombre histórico del archivo; 'Walktrough' corresponde a walkthrough.
2026-07-26,EV2-PAC-09,Walkthrough,TRANSCRIPCIONES_EV2-PAC-09_Walktrough.txt,2026-07-26_Walkthrough_Paciente_EV2-PAC-09_Notas.jpeg,Nota disponible,El nombre histórico de la transcripción usa 'Walktrough'; corresponde a walkthrough.
2026-07-26,EVA2-PAC-13,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-13_Walkthrough.txt,2026-07-26_Walkthrough_Paciente_EVA2-PAC-13_Notas.jpeg,Nota disponible,Una nota asociada a la fase de walkthrough.
2026-07-28,EVA2-PAC-12,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-12_Walkthrough.txt,2026-07-28_Walkthrough_Paciente_EVA2-PAC-12_Notas.jpeg,Nota disponible,Una nota asociada a la fase de walkthrough.
2026-07-28,EVA2-PAC-14,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-14_Walkthrough.txt,2026-07-28_Walkthrough_Paciente_EVA2-PAC-14_Notas.jpeg,Nota disponible,Una nota asociada a la fase de walkthrough.
2026-07-30,EVA2-PAC-11,Walkthrough,TRANSCRIPCIONES_EVA2-PAC-11_Walkthrough.txt,2026-07-30_Walkthrough_Paciente_EVA2-PAC-11_Notas.jpeg,Nota disponible,Una nota asociada a la fase de walkthrough.
2026-08-01,WALK-TEC-01,Entrevista + Walkthrough,TRANSCRIPCIONES_WALK-TEC-01_Entrevista.txt; TRANSCRIPCIONES_WALK-TEC-01_Entrevista_Parte2.txt; TRANSCRIPCIÓN  WALK-TEC-01 Walkthrough..txt,2026-08-01_Walkthrough_Tecnico_WALK-TEC-01_Notas.jpeg,Nota disponible,Una misma jornada produjo una entrevista dividida en dos partes y un walkthrough; se conserva una sola hoja de síntesis para la jornada.
